FIRNumber,UnitId,DistrictId,DateOfFIR,CrimeType,Status,Latitude,Longitude
FIR/2026/190,48211000000046247,48211000000054394,2026-04-26,Fraud,Closed,13.117375,78.157404
FIR/2026/191,48211000000054026,48211000000048017,2026-03-09,Fraud,Under Investigation,15.305467,75.10684
FIR/2026/192,48211000000046248,48211000000054395,2026-06-16,Extortion,Chargesheeted,15.313667,76.1824
FIR/2026/193,48211000000046246,48211000000054393,2026-02-18,Assault,Under Investigation,12.471943,75.791225
FIR/2026/194,48211000000046253,48211000000054400,2026-01-04,Theft,Chargesheeted,13.317858,77.169027
FIR/2026/195,48211000000046256,48211000000054403,2026-02-02,Robbery,Chargesheeted,16.783362,75.768597
FIR/2026/196,48211000000046242,48211000000054389,2026-02-04,Extortion,Under Investigation,14.488403,75.875771
FIR/2026/197,48211000000046249,48211000000054396,2026-03-02,Extortion,Under Investigation,12.484094,76.93515
FIR/2026/198,48211000000046248,48211000000054395,2026-07-01,Theft,Closed,15.385314,76.207084
FIR/2026/199,48211000000046238,48211000000054385,2026-03-03,Burglary,Under Investigation,11.919932,76.909647
FIR/2026/200,48211000000054025,48211000000048017,2026-02-19,Assault,Chargesheeted,15.410768,75.15493
FIR/2026/201,48211000000046252,48211000000054399,2026-03-21,Cybercrime,Under Investigation,13.932982,75.512118
FIR/2026/202,48211000000046256,48211000000054403,2026-06-19,Theft,Chargesheeted,16.856936,75.763838
FIR/2026/203,48211000000046247,48211000000054394,2026-04-28,Chain Snatching,Closed,13.150751,78.187359
FIR/2026/204,48211000000046255,48211000000054402,2026-02-15,Assault,Under Investigation,14.819101,74.696592
FIR/2026/205,48211000000046255,48211000000054402,2026-04-01,Vehicle Theft,Under Investigation,14.770736,74.670781
FIR/2026/206,48211000000054026,48211000000048017,2026-07-07,Extortion,Closed,15.327061,75.146521
FIR/2026/207,48211000000046253,48211000000054400,2026-07-06,Burglary,Closed,13.30364,77.128832
FIR/2026/208,48211000000046255,48211000000054402,2026-06-19,Theft,Under Investigation,14.805234,74.73498
FIR/2026/209,48211000000046241,48211000000054388,2026-07-01,Theft,Under Investigation,14.170885,76.42206
FIR/2026/210,48211000000046237,48211000000054384,2026-02-04,Domestic Violence,Chargesheeted,17.897094,77.527695
FIR/2026/211,48211000000046252,48211000000054399,2026-04-10,Chain Snatching,Chargesheeted,13.882053,75.599483
FIR/2026/212,48211000000054023,48211000000048016,2026-03-30,Vehicle Theft,Chargesheeted,15.889334,74.457447
FIR/2026/213,48211000000054021,48211000000048015,2026-07-02,Vehicle Theft,Closed,12.917202,74.889624
FIR/2026/214,48211000000046241,48211000000054388,2026-01-14,Chain Snatching,Closed,14.21458,76.438682
FIR/2026/215,48211000000054023,48211000000048016,2026-02-10,Theft,Closed,15.853193,74.505188
FIR/2026/216,48211000000046237,48211000000054384,2026-01-23,Robbery,Chargesheeted,17.876455,77.476233
FIR/2026/217,48211000000046234,48211000000054381,2026-05-08,Theft,Under Investigation,16.22555,75.62567
FIR/2026/218,48211000000054027,48211000000048018,2026-01-16,Assault,Chargesheeted,17.290258,76.871008
FIR/2026/219,48211000000054022,48211000000048015,2026-03-24,Theft,Under Investigation,12.877097,74.854686
FIR/2026/220,48211000000046257,48211000000054404,2026-04-15,Extortion,Closed,16.739728,77.181102
FIR/2026/221,48211000000046238,48211000000054385,2026-03-31,Chain Snatching,Chargesheeted,11.976375,76.988034
FIR/2026/222,48211000000046240,48211000000054387,2026-03-15,Burglary,Under Investigation,13.318063,75.76267
FIR/2026/223,48211000000046253,48211000000054400,2026-01-03,Domestic Violence,Under Investigation,13.323219,77.120632
FIR/2026/224,48211000000046254,48211000000054401,2026-05-28,Burglary,Under Investigation,13.317672,74.729424
FIR/2026/225,48211000000046241,48211000000054388,2026-02-14,Vehicle Theft,Under Investigation,14.243777,76.398667
FIR/2026/226,48211000000046251,48211000000054398,2026-04-01,Theft,Chargesheeted,12.729673,77.30344
FIR/2026/227,48211000000046234,48211000000054381,2026-01-14,Chain Snatching,Under Investigation,16.155416,75.723488
FIR/2026/228,48211000000046244,48211000000054391,2026-06-28,Chain Snatching,Chargesheeted,13.010612,76.120125
FIR/2026/229,48211000000046235,48211000000054382,2026-07-14,Theft,Chargesheeted,15.186293,76.941611
FIR/2026/230,48211000000046237,48211000000054384,2026-04-23,Cybercrime,Under Investigation,17.89587,77.580043
FIR/2026/231,48211000000046250,48211000000054397,2026-04-04,Assault,Closed,16.189314,77.325573
FIR/2026/232,48211000000054021,48211000000048015,2026-04-07,Theft,Closed,12.898088,74.855221
FIR/2026/233,48211000000046234,48211000000054381,2026-02-04,Vehicle Theft,Under Investigation,16.171086,75.637819
FIR/2026/234,48211000000046253,48211000000054400,2026-06-27,Vehicle Theft,Under Investigation,13.351871,77.169377
FIR/2026/235,48211000000046247,48211000000054394,2026-04-06,Domestic Violence,Chargesheeted,13.145017,78.159427
FIR/2026/236,48211000000046241,48211000000054388,2026-03-20,Assault,Under Investigation,14.214112,76.437532
FIR/2026/237,48211000000046235,48211000000054382,2026-06-24,Chain Snatching,Under Investigation,15.18453,76.871156
FIR/2026/238,48211000000046245,48211000000054392,2026-02-26,Theft,Under Investigation,14.762545,75.348872
FIR/2026/239,48211000000054018,48211000000048013,2026-04-28,Domestic Violence,Under Investigation,12.957288,77.555076
FIR/2026/240,48211000000046254,48211000000054401,2026-07-06,Cybercrime,Closed,13.334129,74.762367
FIR/2026/241,48211000000046236,48211000000054383,2026-01-19,Robbery,Chargesheeted,13.215949,77.53711
FIR/2026/242,48211000000046235,48211000000054382,2026-02-11,Theft,Under Investigation,15.188825,76.932516
FIR/2026/243,48211000000046234,48211000000054381,2026-04-29,Chain Snatching,Closed,16.118191,75.622838
FIR/2026/244,48211000000046237,48211000000054384,2026-02-10,Vehicle Theft,Chargesheeted,17.863613,77.494046
FIR/2026/245,48211000000046248,48211000000054395,2026-06-30,Theft,Closed,15.316705,76.210703
FIR/2026/246,48211000000046251,48211000000054398,2026-04-18,Assault,Chargesheeted,12.73536,77.307697
FIR/2026/247,48211000000046257,48211000000054404,2026-02-19,Vehicle Theft,Under Investigation,16.768235,77.165166
FIR/2026/248,48211000000054026,48211000000048017,2026-05-15,Theft,Closed,15.378258,75.160458
FIR/2026/249,48211000000046255,48211000000054402,2026-04-15,Chain Snatching,Chargesheeted,14.778132,74.716208
FIR/2026/250,48211000000046249,48211000000054396,2026-05-25,Domestic Violence,Under Investigation,12.530198,76.920825
FIR/2026/251,48211000000054027,48211000000048018,2026-02-21,Domestic Violence,Under Investigation,17.354057,76.781006
FIR/2026/252,48211000000046257,48211000000054404,2026-03-02,Theft,Under Investigation,16.768107,77.092328
FIR/2026/253,48211000000046248,48211000000054395,2026-05-07,Domestic Violence,Chargesheeted,15.396541,76.148491
FIR/2026/254,48211000000046258,48211000000054405,2026-03-17,Chain Snatching,Under Investigation,15.196376,76.472728
FIR/2026/255,48211000000046242,48211000000054389,2026-01-03,Vehicle Theft,Chargesheeted,14.505866,75.876287
FIR/2026/256,48211000000054021,48211000000048015,2026-07-03,Vehicle Theft,Closed,12.930775,74.891184
FIR/2026/257,48211000000046257,48211000000054404,2026-01-16,Domestic Violence,Chargesheeted,16.817584,77.093059
FIR/2026/258,48211000000046245,48211000000054392,2026-01-29,Assault,Chargesheeted,14.826864,75.384301
FIR/2026/259,48211000000054026,48211000000048017,2026-07-05,Chain Snatching,Chargesheeted,15.41844,75.102513
FIR/2026/260,48211000000054025,48211000000048017,2026-07-09,Domestic Violence,Under Investigation,15.334839,75.06841
FIR/2026/261,48211000000046248,48211000000054395,2026-02-16,Burglary,Chargesheeted,15.348204,76.134068
FIR/2026/262,48211000000046256,48211000000054403,2026-03-13,Theft,Chargesheeted,16.81276,75.680383
FIR/2026/263,48211000000046235,48211000000054382,2026-03-28,Cybercrime,Chargesheeted,15.191147,76.975156
FIR/2026/264,48211000000054028,48211000000048018,2026-06-02,Burglary,Under Investigation,17.332796,76.867955
FIR/2026/265,48211000000046244,48211000000054391,2026-03-27,Theft,Chargesheeted,12.97743,76.128269
FIR/2026/266,48211000000054019,48211000000048014,2026-02-25,Extortion,Chargesheeted,12.286648,76.664724
FIR/2026/267,48211000000046236,48211000000054383,2026-02-05,Assault,Chargesheeted,13.245445,77.583075
FIR/2026/268,48211000000046253,48211000000054400,2026-01-28,Extortion,Under Investigation,13.375198,77.143149
FIR/2026/269,48211000000046246,48211000000054393,2026-03-05,Burglary,Chargesheeted,12.484281,75.721673
FIR/2026/270,48211000000046252,48211000000054399,2026-05-07,Chain Snatching,Closed,13.877998,75.566938
FIR/2026/271,48211000000046242,48211000000054389,2026-03-12,Theft,Closed,14.46984,75.979899
FIR/2026/272,48211000000046248,48211000000054395,2026-04-16,Fraud,Closed,15.409801,76.175631
FIR/2026/273,48211000000046235,48211000000054382,2026-01-25,Vehicle Theft,Chargesheeted,15.082552,76.913291
FIR/2026/274,48211000000046238,48211000000054385,2026-05-06,Fraud,Chargesheeted,11.949771,76.979401
FIR/2026/275,48211000000054025,48211000000048017,2026-05-24,Cybercrime,Chargesheeted,15.371781,75.142277
FIR/2026/276,48211000000046245,48211000000054392,2026-03-06,Fraud,Chargesheeted,14.770395,75.407132
FIR/2026/277,48211000000054023,48211000000048016,2026-03-25,Assault,Under Investigation,15.863799,74.541338
FIR/2026/278,48211000000046252,48211000000054399,2026-03-24,Burglary,Closed,13.92418,75.59335
FIR/2026/279,48211000000046258,48211000000054405,2026-05-17,Chain Snatching,Chargesheeted,15.24308,76.481981
FIR/2026/280,48211000000054026,48211000000048017,2026-05-12,Burglary,Under Investigation,15.381995,75.123498
FIR/2026/281,48211000000046243,48211000000054390,2026-01-02,Theft,Chargesheeted,15.378364,75.586586
FIR/2026/282,48211000000046243,48211000000054390,2026-01-02,Cybercrime,Under Investigation,15.458815,75.6017
FIR/2026/283,48211000000046235,48211000000054382,2026-05-31,Extortion,Under Investigation,15.109877,76.965356
FIR/2026/284,48211000000054022,48211000000048015,2026-01-12,Theft,Chargesheeted,12.913597,74.894047
FIR/2026/285,48211000000054022,48211000000048015,2026-02-04,Assault,Chargesheeted,12.923956,74.839249
FIR/2026/286,48211000000046234,48211000000054381,2026-03-20,Theft,Under Investigation,16.169334,75.722258
FIR/2026/287,48211000000046254,48211000000054401,2026-01-18,Assault,Under Investigation,13.333746,74.765045
FIR/2026/288,48211000000046258,48211000000054405,2026-03-23,Assault,Closed,15.280428,76.43581
FIR/2026/289,48211000000046254,48211000000054401,2026-03-13,Domestic Violence,Closed,13.32852,74.766164
FIR/2026/290,48211000000046244,48211000000054391,2026-07-13,Assault,Under Investigation,13.011026,76.05937
FIR/2026/291,48211000000054020,48211000000048014,2026-01-03,Domestic Violence,Under Investigation,12.345576,76.677931
FIR/2026/292,48211000000046252,48211000000054399,2026-03-13,Cybercrime,Closed,13.873125,75.535391
FIR/2026/293,48211000000046247,48211000000054394,2026-05-07,Burglary,Closed,13.148163,78.158648
FIR/2026/294,48211000000046258,48211000000054405,2026-03-16,Assault,Chargesheeted,15.235142,76.457312
FIR/2026/295,48211000000046253,48211000000054400,2026-02-03,Domestic Violence,Under Investigation,13.283639,77.177058
FIR/2026/296,48211000000046244,48211000000054391,2026-01-25,Cybercrime,Closed,12.964459,76.112736
FIR/2026/297,48211000000046256,48211000000054403,2026-04-16,Burglary,Chargesheeted,16.822033,75.732432
FIR/2026/298,48211000000046248,48211000000054395,2026-03-14,Extortion,Closed,15.410041,76.184792
FIR/2026/299,48211000000046253,48211000000054400,2026-04-27,Assault,Closed,13.387878,77.166093
FIR/2026/300,48211000000046251,48211000000054398,2026-06-28,Theft,Under Investigation,12.769697,77.33495
FIR/2026/301,48211000000046257,48211000000054404,2026-04-25,Burglary,Under Investigation,16.756646,77.174541
FIR/2026/302,48211000000046253,48211000000054400,2026-07-04,Fraud,Under Investigation,13.395866,77.146485
FIR/2026/303,48211000000046252,48211000000054399,2026-07-14,Vehicle Theft,Closed,13.917453,75.595426
FIR/2026/304,48211000000046235,48211000000054382,2026-03-31,Extortion,Closed,15.175757,76.911234
FIR/2026/305,48211000000046252,48211000000054399,2026-07-03,Theft,Chargesheeted,13.911122,75.557933
FIR/2026/306,48211000000054021,48211000000048015,2026-07-13,Chain Snatching,Under Investigation,12.91482,74.837313
FIR/2026/307,48211000000046250,48211000000054397,2026-05-19,Fraud,Chargesheeted,16.223586,77.384214
FIR/2026/308,48211000000046235,48211000000054382,2026-07-08,Burglary,Closed,15.092296,76.936196
FIR/2026/309,48211000000046249,48211000000054396,2026-04-01,Domestic Violence,Under Investigation,12.495539,76.865439
FIR/2026/310,48211000000046234,48211000000054381,2026-05-10,Robbery,Chargesheeted,16.15531,75.67075
FIR/2026/311,48211000000046249,48211000000054396,2026-01-23,Burglary,Under Investigation,12.520793,76.947634
FIR/2026/312,48211000000046242,48211000000054389,2026-07-06,Vehicle Theft,Under Investigation,14.465458,75.903119
FIR/2026/313,48211000000046244,48211000000054391,2026-01-22,Theft,Chargesheeted,12.999278,76.138943
FIR/2026/314,48211000000046235,48211000000054382,2026-06-05,Cybercrime,Under Investigation,15.10648,76.959092
FIR/2026/315,48211000000046234,48211000000054381,2026-03-25,Robbery,Under Investigation,16.172762,75.674101
FIR/2026/316,48211000000046239,48211000000054386,2026-03-24,Domestic Violence,Under Investigation,13.377314,77.707979
FIR/2026/317,48211000000046237,48211000000054384,2026-07-01,Domestic Violence,Chargesheeted,17.869797,77.508446
FIR/2026/318,48211000000046245,48211000000054392,2026-02-08,Burglary,Chargesheeted,14.78929,75.45112
FIR/2026/319,48211000000054023,48211000000048016,2026-01-13,Extortion,Under Investigation,15.833343,74.467568
FIR/2026/320,48211000000046252,48211000000054399,2026-01-30,Burglary,Chargesheeted,13.950892,75.55512
FIR/2026/321,48211000000046234,48211000000054381,2026-06-26,Extortion,Chargesheeted,16.114393,75.643608
FIR/2026/322,48211000000054023,48211000000048016,2026-03-19,Chain Snatching,Closed,15.863983,74.467843
FIR/2026/323,48211000000046241,48211000000054388,2026-05-24,Chain Snatching,Under Investigation,14.210021,76.344454
FIR/2026/324,48211000000046242,48211000000054389,2026-06-14,Chain Snatching,Under Investigation,14.464735,75.926864
FIR/2026/325,48211000000046244,48211000000054391,2026-06-28,Assault,Under Investigation,12.987346,76.150745
FIR/2026/326,48211000000046253,48211000000054400,2026-03-14,Burglary,Closed,13.337665,77.150883
FIR/2026/327,48211000000046244,48211000000054391,2026-04-02,Assault,Chargesheeted,13.037415,76.096165
FIR/2026/328,48211000000046254,48211000000054401,2026-06-27,Robbery,Chargesheeted,13.363139,74.755656
FIR/2026/329,48211000000046243,48211000000054390,2026-04-21,Vehicle Theft,Under Investigation,15.461628,75.619107
FIR/2026/330,48211000000054021,48211000000048015,2026-05-24,Extortion,Under Investigation,12.942982,74.884816
FIR/2026/331,48211000000046252,48211000000054399,2026-01-23,Fraud,Closed,13.959741,75.526394
FIR/2026/332,48211000000046234,48211000000054381,2026-07-05,Burglary,Under Investigation,16.181806,75.689939
FIR/2026/333,48211000000046254,48211000000054401,2026-05-10,Cybercrime,Under Investigation,13.3425,74.771907
FIR/2026/334,48211000000046238,48211000000054385,2026-05-06,Vehicle Theft,Chargesheeted,11.896932,76.996411
FIR/2026/335,48211000000046239,48211000000054386,2026-01-28,Vehicle Theft,Under Investigation,13.422758,77.67756
FIR/2026/336,48211000000046242,48211000000054389,2026-02-23,Burglary,Chargesheeted,14.459391,75.917485
FIR/2026/337,48211000000046258,48211000000054405,2026-05-17,Domestic Violence,Closed,15.224824,76.401809
FIR/2026/338,48211000000046252,48211000000054399,2026-03-24,Cybercrime,Under Investigation,13.985026,75.526334
FIR/2026/339,48211000000046254,48211000000054401,2026-03-28,Robbery,Closed,13.375813,74.768829
FIR/2026/340,48211000000046245,48211000000054392,2026-03-30,Vehicle Theft,Under Investigation,14.84926,75.351031
FIR/2026/341,48211000000046255,48211000000054402,2026-07-08,Theft,Under Investigation,14.835787,74.713584
FIR/2026/342,48211000000046238,48211000000054385,2026-04-27,Chain Snatching,Chargesheeted,11.908707,76.941963
FIR/2026/343,48211000000054028,48211000000048018,2026-04-10,Extortion,Under Investigation,17.382151,76.8674
FIR/2026/344,48211000000046239,48211000000054386,2026-06-13,Fraud,Chargesheeted,13.474328,77.738565
FIR/2026/345,48211000000046258,48211000000054405,2026-05-18,Chain Snatching,Under Investigation,15.25369,76.456446
FIR/2026/346,48211000000046235,48211000000054382,2026-05-07,Assault,Closed,15.111583,76.865979
FIR/2026/347,48211000000046246,48211000000054393,2026-04-16,Fraud,Under Investigation,12.375538,75.774661
FIR/2026/348,48211000000046251,48211000000054398,2026-03-11,Assault,Under Investigation,12.667218,77.311232
FIR/2026/349,48211000000046257,48211000000054404,2026-01-15,Vehicle Theft,Chargesheeted,16.80433,77.194293
FIR/2026/350,48211000000046249,48211000000054396,2026-04-10,Cybercrime,Chargesheeted,12.496487,76.88094
FIR/2026/351,48211000000046234,48211000000054381,2026-03-19,Theft,Chargesheeted,16.164899,75.630538
FIR/2026/352,48211000000046235,48211000000054382,2026-04-11,Assault,Closed,15.167117,76.90281
FIR/2026/353,48211000000054020,48211000000048014,2026-07-10,Robbery,Closed,12.284483,76.685177
FIR/2026/354,48211000000046243,48211000000054390,2026-03-25,Vehicle Theft,Chargesheeted,15.489272,75.685233
FIR/2026/355,48211000000046241,48211000000054388,2026-04-08,Burglary,Under Investigation,14.207576,76.352461
FIR/2026/356,48211000000046252,48211000000054399,2026-06-25,Assault,Closed,13.884382,75.545645
FIR/2026/357,48211000000054025,48211000000048017,2026-03-11,Extortion,Chargesheeted,15.343486,75.169928
FIR/2026/358,48211000000046244,48211000000054391,2026-01-06,Burglary,Under Investigation,12.983473,76.098345
FIR/2026/359,48211000000046239,48211000000054386,2026-04-03,Domestic Violence,Under Investigation,13.444265,77.703006
FIR/2026/360,48211000000046247,48211000000054394,2026-01-02,Vehicle Theft,Chargesheeted,13.125217,78.082151
FIR/2026/361,48211000000054021,48211000000048015,2026-06-09,Domestic Violence,Closed,12.925558,74.838489
FIR/2026/362,48211000000046243,48211000000054390,2026-02-16,Burglary,Under Investigation,15.420864,75.589419
FIR/2026/363,48211000000046246,48211000000054393,2026-03-30,Burglary,Chargesheeted,12.378214,75.73886
FIR/2026/364,48211000000046251,48211000000054398,2026-06-16,Theft,Chargesheeted,12.750609,77.307036
FIR/2026/365,48211000000046252,48211000000054399,2026-04-29,Extortion,Under Investigation,13.926304,75.56862
FIR/2026/366,48211000000046250,48211000000054397,2026-03-28,Extortion,Chargesheeted,16.182526,77.331666
FIR/2026/367,48211000000054028,48211000000048018,2026-06-07,Assault,Under Investigation,17.281625,76.877196
FIR/2026/368,48211000000046258,48211000000054405,2026-06-23,Burglary,Under Investigation,15.292148,76.516074
FIR/2026/369,48211000000046240,48211000000054387,2026-05-31,Theft,Chargesheeted,13.285264,75.748676
FIR/2026/370,48211000000046248,48211000000054395,2026-05-06,Theft,Under Investigation,15.323453,76.11715
FIR/2026/371,48211000000046256,48211000000054403,2026-07-05,Assault,Under Investigation,16.864203,75.720631
FIR/2026/372,48211000000046242,48211000000054389,2026-03-06,Theft,Chargesheeted,14.509526,75.952308
FIR/2026/373,48211000000046241,48211000000054388,2026-06-09,Assault,Under Investigation,14.19068,76.347254
FIR/2026/374,48211000000046247,48211000000054394,2026-04-19,Theft,Chargesheeted,13.165327,78.1357
FIR/2026/375,48211000000054025,48211000000048017,2026-07-09,Burglary,Chargesheeted,15.375696,75.112838
FIR/2026/376,48211000000046240,48211000000054387,2026-04-30,Burglary,Under Investigation,13.273208,75.762994
FIR/2026/377,48211000000046237,48211000000054384,2026-05-07,Theft,Chargesheeted,17.930598,77.534028
FIR/2026/378,48211000000046235,48211000000054382,2026-05-27,Robbery,Under Investigation,15.123757,76.938668
FIR/2026/379,48211000000046250,48211000000054397,2026-03-02,Fraud,Under Investigation,16.21023,77.296017
FIR/2026/380,48211000000054017,48211000000048013,2026-04-06,Domestic Violence,Chargesheeted,12.958918,77.602228
FIR/2026/381,48211000000046237,48211000000054384,2026-07-11,Extortion,Chargesheeted,17.881041,77.561651
FIR/2026/382,48211000000046242,48211000000054389,2026-01-27,Burglary,Chargesheeted,14.446258,75.91357
FIR/2026/383,48211000000046253,48211000000054400,2026-04-07,Assault,Under Investigation,13.287448,77.155887
FIR/2026/384,48211000000046235,48211000000054382,2026-01-21,Burglary,Under Investigation,15.12782,76.877186
FIR/2026/385,48211000000054026,48211000000048017,2026-01-14,Robbery,Chargesheeted,15.355985,75.11214
FIR/2026/386,48211000000046239,48211000000054386,2026-07-03,Assault,Chargesheeted,13.490508,77.705405
FIR/2026/387,48211000000054028,48211000000048018,2026-01-18,Fraud,Chargesheeted,17.293879,76.776437
FIR/2026/388,48211000000046254,48211000000054401,2026-06-16,Robbery,Chargesheeted,13.354619,74.752978
FIR/2026/389,48211000000054026,48211000000048017,2026-02-02,Vehicle Theft,Under Investigation,15.404875,75.142687
FIR/2026/390,48211000000046243,48211000000054390,2026-02-09,Assault,Chargesheeted,15.453044,75.624479
FIR/2026/391,48211000000046245,48211000000054392,2026-04-18,Domestic Violence,Closed,14.799053,75.439018
FIR/2026/392,48211000000046240,48211000000054387,2026-01-20,Vehicle Theft,Under Investigation,13.257457,75.737322
FIR/2026/393,48211000000046249,48211000000054396,2026-04-02,Assault,Under Investigation,12.473648,76.929703
FIR/2026/394,48211000000046257,48211000000054404,2026-05-06,Vehicle Theft,Under Investigation,16.825154,77.193109
FIR/2026/395,48211000000046246,48211000000054393,2026-01-30,Vehicle Theft,Under Investigation,12.457609,75.753225
FIR/2026/396,48211000000046258,48211000000054405,2026-01-01,Fraud,Under Investigation,15.240301,76.511782
FIR/2026/397,48211000000046236,48211000000054383,2026-04-17,Theft,Closed,13.197782,77.617448
FIR/2026/398,48211000000046249,48211000000054396,2026-04-23,Burglary,Under Investigation,12.560122,76.938291
FIR/2026/399,48211000000046241,48211000000054388,2026-06-15,Chain Snatching,Closed,14.265788,76.389617
FIR/2026/400,48211000000046240,48211000000054387,2026-01-08,Cybercrime,Chargesheeted,13.288678,75.722593
FIR/2026/401,48211000000046258,48211000000054405,2026-04-04,Theft,Under Investigation,15.241516,76.499134
FIR/2026/402,48211000000046250,48211000000054397,2026-06-14,Theft,Under Investigation,16.219188,77.325555
FIR/2026/403,48211000000054024,48211000000048016,2026-01-24,Domestic Violence,Under Investigation,15.830544,74.52341
FIR/2026/404,48211000000054022,48211000000048015,2026-01-18,Extortion,Closed,12.917318,74.877103
FIR/2026/405,48211000000046235,48211000000054382,2026-01-07,Vehicle Theft,Chargesheeted,15.158904,76.970668
FIR/2026/406,48211000000046258,48211000000054405,2026-05-01,Burglary,Under Investigation,15.189438,76.425651
FIR/2026/407,48211000000046240,48211000000054387,2026-02-23,Vehicle Theft,Under Investigation,13.354716,75.765192
FIR/2026/408,48211000000054025,48211000000048017,2026-02-25,Domestic Violence,Under Investigation,15.346001,75.161742
FIR/2026/409,48211000000046258,48211000000054405,2026-04-20,Vehicle Theft,Under Investigation,15.215388,76.505161
FIR/2026/410,48211000000046254,48211000000054401,2026-03-02,Burglary,Under Investigation,13.3179,74.759944
FIR/2026/411,48211000000046234,48211000000054381,2026-02-22,Robbery,Closed,16.212349,75.663078
FIR/2026/412,48211000000054020,48211000000048014,2026-03-05,Cybercrime,Closed,12.251514,76.607922
FIR/2026/413,48211000000046238,48211000000054385,2026-06-16,Theft,Closed,11.945244,76.964997
FIR/2026/414,48211000000046243,48211000000054390,2026-04-03,Assault,Under Investigation,15.464107,75.672539
FIR/2026/415,48211000000054018,48211000000048013,2026-04-22,Assault,Under Investigation,13.006899,77.548415
FIR/2026/416,48211000000046257,48211000000054404,2026-03-14,Assault,Under Investigation,16.759892,77.115795
FIR/2026/417,48211000000054019,48211000000048014,2026-01-12,Assault,Under Investigation,12.270025,76.604323
FIR/2026/418,48211000000046234,48211000000054381,2026-04-06,Cybercrime,Chargesheeted,16.115445,75.698531
FIR/2026/419,48211000000046254,48211000000054401,2026-03-03,Chain Snatching,Under Investigation,13.379129,74.778398
FIR/2026/420,48211000000046257,48211000000054404,2026-04-23,Cybercrime,Chargesheeted,16.745099,77.09546
FIR/2026/421,48211000000046252,48211000000054399,2026-04-30,Extortion,Under Investigation,13.932559,75.611426
FIR/2026/422,48211000000046257,48211000000054404,2026-05-23,Burglary,Chargesheeted,16.715657,77.104593
FIR/2026/423,48211000000046258,48211000000054405,2026-03-01,Cybercrime,Under Investigation,15.284516,76.486441
FIR/2026/424,48211000000046254,48211000000054401,2026-01-06,Robbery,Under Investigation,13.373994,74.780796
FIR/2026/425,48211000000046247,48211000000054394,2026-04-10,Burglary,Closed,13.094143,78.155531
FIR/2026/426,48211000000046236,48211000000054383,2026-03-27,Fraud,Under Investigation,13.192812,77.571167
