SectionCode,SectionTitle,Act,CaseId
498A,Cruelty by husband or relatives,IPC,48211000000054111
379,Theft,IPC,48211000000054112
457,Lurking house-trespass by night,IPC,48211000000054113
380,Theft in dwelling house,IPC,48211000000054113
498A,Cruelty by husband or relatives,IPC,48211000000054114
379,Theft,IPC,48211000000054115
392,Robbery,IPC,48211000000054116
66C,Identity Theft,IT Act,48211000000054117
66D,Cheating by personation using computer resource,IT Act,48211000000054117
66C,Identity Theft,IT Act,48211000000054118
66D,Cheating by personation using computer resource,IT Act,48211000000054118
384,Extortion,IPC,48211000000054119
379,Theft,IPC,48211000000054120
356,Assault in attempt to commit theft,IPC,48211000000054120
379,Theft,IPC,48211000000054121
379,Theft,IPC,48211000000054122
356,Assault in attempt to commit theft,IPC,48211000000054122
379,Theft,IPC,48211000000054123
379,Theft,IPC,48211000000054124
379,Theft,IPC,48211000000054125
66C,Identity Theft,IT Act,48211000000054126
66D,Cheating by personation using computer resource,IT Act,48211000000054126
66C,Identity Theft,IT Act,48211000000054127
66D,Cheating by personation using computer resource,IT Act,48211000000054127
420,Cheating and dishonestly inducing delivery of property,IPC,48211000000054128
392,Robbery,IPC,48211000000054129
323,Voluntarily causing hurt,IPC,48211000000054130
323,Voluntarily causing hurt,IPC,48211000000054131
498A,Cruelty by husband or relatives,IPC,48211000000054132
457,Lurking house-trespass by night,IPC,48211000000054133
380,Theft in dwelling house,IPC,48211000000054133
323,Voluntarily causing hurt,IPC,48211000000054134
457,Lurking house-trespass by night,IPC,48211000000054135
380,Theft in dwelling house,IPC,48211000000054135
457,Lurking house-trespass by night,IPC,48211000000054136
380,Theft in dwelling house,IPC,48211000000054136
323,Voluntarily causing hurt,IPC,48211000000054137
498A,Cruelty by husband or relatives,IPC,48211000000054138
420,Cheating and dishonestly inducing delivery of property,IPC,48211000000054139
498A,Cruelty by husband or relatives,IPC,48211000000054140
379,Theft,IPC,48211000000054141
379,Theft,IPC,48211000000054142
379,Theft,IPC,48211000000054143
323,Voluntarily causing hurt,IPC,48211000000054144
323,Voluntarily causing hurt,IPC,48211000000054145
420,Cheating and dishonestly inducing delivery of property,IPC,48211000000054146
379,Theft,IPC,48211000000054147
323,Voluntarily causing hurt,IPC,48211000000054148
379,Theft,IPC,48211000000054149
356,Assault in attempt to commit theft,IPC,48211000000054149
498A,Cruelty by husband or relatives,IPC,48211000000054150
379,Theft,IPC,48211000000054151
356,Assault in attempt to commit theft,IPC,48211000000054151
323,Voluntarily causing hurt,IPC,48211000000054152
379,Theft,IPC,48211000000054153
356,Assault in attempt to commit theft,IPC,48211000000054153
66C,Identity Theft,IT Act,48211000000054154
66D,Cheating by personation using computer resource,IT Act,48211000000054154
420,Cheating and dishonestly inducing delivery of property,IPC,48211000000054155
66C,Identity Theft,IT Act,48211000000054156
66D,Cheating by personation using computer resource,IT Act,48211000000054156
379,Theft,IPC,48211000000054157
356,Assault in attempt to commit theft,IPC,48211000000054157
323,Voluntarily causing hurt,IPC,48211000000054158
323,Voluntarily causing hurt,IPC,48211000000054159
379,Theft,IPC,48211000000054160
323,Voluntarily causing hurt,IPC,48211000000054161
379,Theft,IPC,48211000000054162
457,Lurking house-trespass by night,IPC,48211000000054163
380,Theft in dwelling house,IPC,48211000000054163
323,Voluntarily causing hurt,IPC,48211000000054164
323,Voluntarily causing hurt,IPC,48211000000054165
457,Lurking house-trespass by night,IPC,48211000000054166
380,Theft in dwelling house,IPC,48211000000054166
457,Lurking house-trespass by night,IPC,48211000000054167
380,Theft in dwelling house,IPC,48211000000054167
384,Extortion,IPC,48211000000054168
457,Lurking house-trespass by night,IPC,48211000000054169
380,Theft in dwelling house,IPC,48211000000054169
379,Theft,IPC,48211000000054170
457,Lurking house-trespass by night,IPC,48211000000054171
380,Theft in dwelling house,IPC,48211000000054171
379,Theft,IPC,48211000000054172
498A,Cruelty by husband or relatives,IPC,48211000000054173
379,Theft,IPC,48211000000054174
384,Extortion,IPC,48211000000054175
392,Robbery,IPC,48211000000054176
457,Lurking house-trespass by night,IPC,48211000000054177
380,Theft in dwelling house,IPC,48211000000054177
379,Theft,IPC,48211000000054178
356,Assault in attempt to commit theft,IPC,48211000000054178
498A,Cruelty by husband or relatives,IPC,48211000000054179
323,Voluntarily causing hurt,IPC,48211000000054180
323,Voluntarily causing hurt,IPC,48211000000054181
457,Lurking house-trespass by night,IPC,48211000000054182
380,Theft in dwelling house,IPC,48211000000054182
392,Robbery,IPC,48211000000054183
384,Extortion,IPC,48211000000054184
66C,Identity Theft,IT Act,48211000000054185
66D,Cheating by personation using computer resource,IT Act,48211000000054185
379,Theft,IPC,48211000000054186
356,Assault in attempt to commit theft,IPC,48211000000054186
379,Theft,IPC,48211000000054187
457,Lurking house-trespass by night,IPC,48211000000054188
380,Theft in dwelling house,IPC,48211000000054188
457,Lurking house-trespass by night,IPC,48211000000054189
380,Theft in dwelling house,IPC,48211000000054189
384,Extortion,IPC,48211000000054190
379,Theft,IPC,48211000000054191
379,Theft,IPC,48211000000054192
323,Voluntarily causing hurt,IPC,48211000000054193
457,Lurking house-trespass by night,IPC,48211000000054194
380,Theft in dwelling house,IPC,48211000000054194
457,Lurking house-trespass by night,IPC,48211000000054195
380,Theft in dwelling house,IPC,48211000000054195
392,Robbery,IPC,48211000000054196
384,Extortion,IPC,48211000000054197
420,Cheating and dishonestly inducing delivery of property,IPC,48211000000054198
323,Voluntarily causing hurt,IPC,48211000000054199
379,Theft,IPC,48211000000054200
379,Theft,IPC,48211000000054201
379,Theft,IPC,48211000000054202
379,Theft,IPC,48211000000054203
420,Cheating and dishonestly inducing delivery of property,IPC,48211000000054204
379,Theft,IPC,48211000000054205
66C,Identity Theft,IT Act,48211000000054206
66D,Cheating by personation using computer resource,IT Act,48211000000054206
379,Theft,IPC,48211000000054207
457,Lurking house-trespass by night,IPC,48211000000054208
380,Theft in dwelling house,IPC,48211000000054208
498A,Cruelty by husband or relatives,IPC,48211000000054209
420,Cheating and dishonestly inducing delivery of property,IPC,48211000000054210
457,Lurking house-trespass by night,IPC,48211000000054211
380,Theft in dwelling house,IPC,48211000000054211
457,Lurking house-trespass by night,IPC,48211000000054212
380,Theft in dwelling house,IPC,48211000000054212
379,Theft,IPC,48211000000054213
356,Assault in attempt to commit theft,IPC,48211000000054213
498A,Cruelty by husband or relatives,IPC,48211000000054214
379,Theft,IPC,48211000000054215
379,Theft,IPC,48211000000054216
392,Robbery,IPC,48211000000054217
420,Cheating and dishonestly inducing delivery of property,IPC,48211000000054218
