FIRNumber,UnitId,DistrictId,DateOfFIR,CrimeType,Status,Latitude,Longitude
FIR/2026/057,48211000000054028,48211000000048018,2026-03-09,Burglary,Chargesheeted,17.331323,76.759636
FIR/2026/058,48211000000054017,48211000000048013,2026-01-12,Domestic Violence,Closed,12.827264,77.684636
FIR/2026/059,48211000000054028,48211000000048018,2026-06-30,Theft,Under Investigation,17.308006,76.687201
FIR/2026/060,48211000000054017,48211000000048013,2026-05-30,Robbery,Closed,12.991958,77.582236
FIR/2026/061,48211000000054018,48211000000048013,2026-01-11,Cybercrime,Closed,13.095877,77.516323
FIR/2026/062,48211000000054019,48211000000048014,2026-04-15,Cybercrime,Chargesheeted,12.437951,76.714243
FIR/2026/063,48211000000054019,48211000000048014,2026-04-16,Extortion,Closed,12.153236,76.710369
FIR/2026/064,48211000000054022,48211000000048015,2026-03-05,Chain Snatching,Closed,12.844142,74.942212
FIR/2026/065,48211000000054018,48211000000048013,2026-02-26,Vehicle Theft,Closed,12.886072,77.728836
FIR/2026/066,48211000000054022,48211000000048015,2026-02-27,Chain Snatching,Closed,12.771199,74.763939
FIR/2026/067,48211000000054022,48211000000048015,2026-03-13,Vehicle Theft,Closed,12.869444,74.858822
FIR/2026/068,48211000000054028,48211000000048018,2026-03-08,Vehicle Theft,Under Investigation,17.23327,76.97306
FIR/2026/069,48211000000054021,48211000000048015,2026-07-06,Theft,Under Investigation,13.000028,74.836918
FIR/2026/070,48211000000054025,48211000000048017,2026-03-07,Cybercrime,Chargesheeted,15.228016,75.104817
FIR/2026/071,48211000000054025,48211000000048017,2026-06-20,Cybercrime,Under Investigation,15.490931,75.160947
FIR/2026/072,48211000000054027,48211000000048018,2026-03-21,Fraud,Under Investigation,17.379768,76.782155
FIR/2026/073,48211000000054028,48211000000048018,2026-06-20,Robbery,Under Investigation,17.461809,76.887495
FIR/2026/074,48211000000054020,48211000000048014,2026-03-19,Assault,Closed,12.231874,76.618366
FIR/2026/075,48211000000054026,48211000000048017,2026-02-24,Assault,Under Investigation,15.368052,75.212121
FIR/2026/076,48211000000054027,48211000000048018,2026-06-19,Domestic Violence,Under Investigation,17.369582,76.784856
FIR/2026/077,48211000000054020,48211000000048014,2026-01-07,Burglary,Under Investigation,12.159664,76.784581
FIR/2026/078,48211000000054025,48211000000048017,2026-05-28,Assault,Closed,15.273031,75.182906
FIR/2026/079,48211000000054024,48211000000048016,2026-01-02,Burglary,Chargesheeted,15.967498,74.605832
FIR/2026/080,48211000000054018,48211000000048013,2026-06-28,Burglary,Closed,12.981587,77.468366
FIR/2026/081,48211000000054019,48211000000048014,2026-06-20,Assault,Closed,12.30514,76.657078
FIR/2026/082,48211000000054022,48211000000048015,2026-05-10,Domestic Violence,Chargesheeted,12.892122,74.978056
FIR/2026/083,48211000000054023,48211000000048016,2026-03-08,Fraud,Chargesheeted,15.925233,74.599659
FIR/2026/084,48211000000054022,48211000000048015,2026-01-20,Domestic Violence,Under Investigation,12.978163,74.776348
FIR/2026/085,48211000000054022,48211000000048015,2026-02-08,Vehicle Theft,Under Investigation,12.833478,74.914185
FIR/2026/086,48211000000054027,48211000000048018,2026-05-19,Theft,Under Investigation,17.319477,76.70298
FIR/2026/087,48211000000054024,48211000000048016,2026-06-28,Vehicle Theft,Chargesheeted,15.70556,74.611897
FIR/2026/088,48211000000054026,48211000000048017,2026-03-18,Assault,Closed,15.440743,75.230034
FIR/2026/089,48211000000054023,48211000000048016,2026-05-05,Assault,Under Investigation,15.708407,74.448539
FIR/2026/090,48211000000054028,48211000000048018,2026-02-02,Fraud,Closed,17.473917,76.844537
FIR/2026/091,48211000000054023,48211000000048016,2026-04-29,Theft,Under Investigation,15.754219,74.425747
FIR/2026/092,48211000000054021,48211000000048015,2026-04-08,Assault,Under Investigation,12.847577,74.991361
FIR/2026/093,48211000000054024,48211000000048016,2026-07-11,Chain Snatching,Chargesheeted,15.861526,74.647672
FIR/2026/094,48211000000054021,48211000000048015,2026-06-16,Domestic Violence,Chargesheeted,12.776177,74.715309
FIR/2026/095,48211000000054019,48211000000048014,2026-03-03,Chain Snatching,Chargesheeted,12.183666,76.690238
FIR/2026/096,48211000000054025,48211000000048017,2026-04-05,Assault,Under Investigation,15.265037,75.156174
FIR/2026/097,48211000000054027,48211000000048018,2026-03-21,Chain Snatching,Under Investigation,17.21213,76.692004
FIR/2026/098,48211000000054022,48211000000048015,2026-01-20,Cybercrime,Chargesheeted,12.941729,74.955171
FIR/2026/099,48211000000054019,48211000000048014,2026-06-25,Fraud,Under Investigation,12.325923,76.525717
FIR/2026/100,48211000000054025,48211000000048017,2026-04-05,Cybercrime,Under Investigation,15.235387,75.168263
FIR/2026/101,48211000000054018,48211000000048013,2026-04-03,Chain Snatching,Under Investigation,13.016876,77.701912
FIR/2026/102,48211000000054027,48211000000048018,2026-06-16,Assault,Chargesheeted,17.260725,76.92676
FIR/2026/103,48211000000054026,48211000000048017,2026-06-01,Assault,Closed,15.295219,75.229514
FIR/2026/104,48211000000054018,48211000000048013,2026-04-29,Vehicle Theft,Under Investigation,12.997155,77.653757
FIR/2026/105,48211000000054021,48211000000048015,2026-05-05,Assault,Under Investigation,12.827736,74.94535
FIR/2026/106,48211000000054022,48211000000048015,2026-03-12,Vehicle Theft,Chargesheeted,12.930837,74.860988
FIR/2026/107,48211000000054019,48211000000048014,2026-05-23,Burglary,Under Investigation,12.373249,76.696583
FIR/2026/108,48211000000054028,48211000000048018,2026-03-17,Assault,Under Investigation,17.246179,76.891836
FIR/2026/109,48211000000054022,48211000000048015,2026-04-19,Assault,Chargesheeted,13.063089,74.871117
FIR/2026/110,48211000000054022,48211000000048015,2026-01-31,Burglary,Under Investigation,12.980485,74.800664
FIR/2026/111,48211000000054027,48211000000048018,2026-03-12,Burglary,Chargesheeted,17.397076,76.977282
FIR/2026/112,48211000000054026,48211000000048017,2026-03-17,Extortion,Closed,15.282945,75.027832
FIR/2026/113,48211000000054017,48211000000048013,2026-05-22,Burglary,Closed,12.913841,77.736527
FIR/2026/114,48211000000054028,48211000000048018,2026-03-14,Theft,Under Investigation,17.320519,76.816441
FIR/2026/115,48211000000054019,48211000000048014,2026-01-30,Burglary,Closed,12.392435,76.609612
FIR/2026/116,48211000000054017,48211000000048013,2026-03-19,Theft,Closed,12.851754,77.527757
FIR/2026/117,48211000000054026,48211000000048017,2026-02-27,Domestic Violence,Chargesheeted,15.447408,75.088113
FIR/2026/118,48211000000054024,48211000000048016,2026-03-20,Vehicle Theft,Closed,15.870289,74.365769
FIR/2026/119,48211000000054027,48211000000048018,2026-02-24,Extortion,Under Investigation,17.259094,76.708656
FIR/2026/120,48211000000054019,48211000000048014,2026-04-15,Robbery,Under Investigation,12.280951,76.667543
FIR/2026/121,48211000000054021,48211000000048015,2026-06-29,Burglary,Chargesheeted,13.021982,74.727354
FIR/2026/122,48211000000054020,48211000000048014,2026-06-19,Chain Snatching,Chargesheeted,12.386972,76.548746
FIR/2026/123,48211000000054017,48211000000048013,2026-02-06,Domestic Violence,Closed,12.847623,77.503077
FIR/2026/124,48211000000054022,48211000000048015,2026-03-19,Assault,Chargesheeted,12.97402,74.988803
FIR/2026/125,48211000000054026,48211000000048017,2026-04-21,Assault,Chargesheeted,15.43506,75.155114
FIR/2026/126,48211000000054017,48211000000048013,2026-05-28,Burglary,Chargesheeted,13.002337,77.459524
FIR/2026/127,48211000000054028,48211000000048018,2026-02-14,Robbery,Chargesheeted,17.32085,76.879753
FIR/2026/128,48211000000054021,48211000000048015,2026-05-06,Extortion,Under Investigation,13.054817,74.847003
FIR/2026/129,48211000000054024,48211000000048016,2026-02-11,Cybercrime,Under Investigation,15.798641,74.555802
FIR/2026/130,48211000000054022,48211000000048015,2026-04-27,Chain Snatching,Chargesheeted,12.790518,74.78172
FIR/2026/131,48211000000054018,48211000000048013,2026-01-01,Vehicle Theft,Closed,13.023498,77.616078
FIR/2026/132,48211000000054023,48211000000048016,2026-07-13,Burglary,Under Investigation,15.849248,74.480312
FIR/2026/133,48211000000054017,48211000000048013,2026-03-15,Burglary,Under Investigation,12.957635,77.662775
FIR/2026/134,48211000000054017,48211000000048013,2026-03-03,Extortion,Chargesheeted,13.039135,77.546525
FIR/2026/135,48211000000054018,48211000000048013,2026-01-30,Theft,Closed,12.964634,77.48854
FIR/2026/136,48211000000054020,48211000000048014,2026-06-30,Vehicle Theft,Under Investigation,12.227827,76.739817
FIR/2026/137,48211000000054023,48211000000048016,2026-02-18,Assault,Under Investigation,15.97626,74.500172
FIR/2026/138,48211000000054019,48211000000048014,2026-04-17,Burglary,Chargesheeted,12.247763,76.725715
FIR/2026/139,48211000000054021,48211000000048015,2026-05-31,Burglary,Under Investigation,12.938077,74.903982
FIR/2026/140,48211000000054020,48211000000048014,2026-05-22,Robbery,Under Investigation,12.374662,76.602563
FIR/2026/141,48211000000054021,48211000000048015,2026-04-09,Extortion,Under Investigation,12.834169,74.938663
FIR/2026/142,48211000000054018,48211000000048013,2026-04-08,Fraud,Chargesheeted,12.942024,77.652407
FIR/2026/143,48211000000054027,48211000000048018,2026-05-09,Assault,Under Investigation,17.469306,76.783898
FIR/2026/144,48211000000054018,48211000000048013,2026-01-04,Theft,Closed,13.042933,77.576294
FIR/2026/145,48211000000054027,48211000000048018,2026-03-09,Theft,Chargesheeted,17.281268,76.892111
FIR/2026/146,48211000000054027,48211000000048018,2026-05-17,Vehicle Theft,Closed,17.293703,76.779298
FIR/2026/147,48211000000054028,48211000000048018,2026-01-18,Vehicle Theft,Under Investigation,17.250131,76.88962
FIR/2026/148,48211000000054021,48211000000048015,2026-01-26,Fraud,Under Investigation,12.992211,74.917167
FIR/2026/149,48211000000054018,48211000000048013,2026-01-08,Theft,Under Investigation,12.839997,77.692143
FIR/2026/150,48211000000054022,48211000000048015,2026-05-16,Cybercrime,Under Investigation,12.887716,74.91054
FIR/2026/151,48211000000054019,48211000000048014,2026-04-08,Theft,Chargesheeted,12.331713,76.561649
FIR/2026/152,48211000000054025,48211000000048017,2026-04-28,Burglary,Chargesheeted,15.291298,74.976819
FIR/2026/153,48211000000054024,48211000000048016,2026-04-24,Domestic Violence,Under Investigation,15.983271,74.643996
FIR/2026/154,48211000000054022,48211000000048015,2026-03-19,Fraud,Chargesheeted,12.823865,74.821408
FIR/2026/155,48211000000054023,48211000000048016,2026-05-28,Burglary,Chargesheeted,15.788462,74.557484
FIR/2026/156,48211000000054018,48211000000048013,2026-06-25,Burglary,Chargesheeted,13.059693,77.745381
FIR/2026/157,48211000000054026,48211000000048017,2026-02-28,Chain Snatching,Closed,15.396819,75.079696
FIR/2026/158,48211000000054027,48211000000048018,2026-07-04,Domestic Violence,Chargesheeted,17.409941,76.888557
FIR/2026/159,48211000000054019,48211000000048014,2026-03-21,Vehicle Theft,Chargesheeted,12.382383,76.499409
FIR/2026/160,48211000000054021,48211000000048015,2026-07-11,Theft,Under Investigation,12.888751,74.766238
FIR/2026/161,48211000000054026,48211000000048017,2026-02-12,Robbery,Closed,15.291791,75.221407
FIR/2026/162,48211000000054024,48211000000048016,2026-01-30,Fraud,Under Investigation,15.840199,74.37029
