"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","FIRNumber","UnitId","DistrictId","DateOfFIR","CrimeType","Status","Latitude","Longitude"
"48211000000054078","48211000000013007","2026-07-21 16:15:24:836","2026-07-21 16:15:24:836","FIR/2026/022","48211000000054019","48211000000048014","2026-06-13","Theft","Under Investigation","12.352249","76.555285"
"48211000000054079","48211000000013007","2026-07-21 16:15:24:837","2026-07-21 16:15:24:837","FIR/2026/023","48211000000054021","48211000000048015","2026-03-22","Burglary","Under Investigation","12.884449","74.725857"
"48211000000054080","48211000000013007","2026-07-21 16:15:24:839","2026-07-21 16:15:24:839","FIR/2026/024","48211000000054026","48211000000048017","2026-06-14","Burglary","Chargesheeted","15.352356","75.053464"
"48211000000054081","48211000000013007","2026-07-21 16:15:24:840","2026-07-21 16:15:24:840","FIR/2026/025","48211000000054020","48211000000048014","2026-05-30","Fraud","Under Investigation","12.26562","76.555196"
"48211000000054082","48211000000013007","2026-07-21 16:15:24:842","2026-07-21 16:15:24:842","FIR/2026/026","48211000000054020","48211000000048014","2026-01-29","Theft","Under Investigation","12.191652","76.537395"
"48211000000054083","48211000000013007","2026-07-21 16:15:24:843","2026-07-21 16:15:24:843","FIR/2026/027","48211000000054028","48211000000048018","2026-06-02","Robbery","Under Investigation","17.478536","76.843034"
"48211000000054084","48211000000013007","2026-07-21 16:15:24:845","2026-07-21 16:15:24:845","FIR/2026/028","48211000000054025","48211000000048017","2026-05-18","Fraud","Under Investigation","15.439963","75.20458"
"48211000000054085","48211000000013007","2026-07-21 16:15:24:846","2026-07-21 16:15:24:846","FIR/2026/029","48211000000054021","48211000000048015","2026-01-01","Burglary","Under Investigation","13.050245","74.968756"
"48211000000054086","48211000000013007","2026-07-21 16:15:24:848","2026-07-21 16:15:24:848","FIR/2026/030","48211000000054021","48211000000048015","2026-06-10","Assault","Under Investigation","12.853633","74.897685"
"48211000000054087","48211000000013007","2026-07-21 16:15:24:849","2026-07-21 16:15:24:849","FIR/2026/031","48211000000054025","48211000000048017","2026-05-19","Theft","Chargesheeted","15.50075","75.25073"
"48211000000054088","48211000000013007","2026-07-21 16:15:24:851","2026-07-21 16:15:24:851","FIR/2026/032","48211000000054018","48211000000048013","2026-04-03","Assault","Under Investigation","13.089817","77.7028"
"48211000000054089","48211000000013007","2026-07-21 16:15:24:852","2026-07-21 16:15:24:852","FIR/2026/033","48211000000054021","48211000000048015","2026-01-21","Theft","Closed","12.789796","74.851797"
"48211000000054090","48211000000013007","2026-07-21 16:15:24:853","2026-07-21 16:15:24:853","FIR/2026/034","48211000000054017","48211000000048013","2026-05-21","Theft","Chargesheeted","12.875738","77.611602"
"48211000000054091","48211000000013007","2026-07-21 16:15:24:855","2026-07-21 16:15:24:855","FIR/2026/035","48211000000054026","48211000000048017","2026-07-13","Extortion","Closed","15.433679","75.034345"
"48211000000054092","48211000000013007","2026-07-21 16:15:24:856","2026-07-21 16:15:24:856","FIR/2026/036","48211000000054022","48211000000048015","2026-04-23","Extortion","Chargesheeted","13.033984","74.841446"
"48211000000054093","48211000000013007","2026-07-21 16:15:24:858","2026-07-21 16:15:24:858","FIR/2026/037","48211000000054019","48211000000048014","2026-05-22","Theft","Under Investigation","12.214834","76.555465"
"48211000000054094","48211000000013007","2026-07-21 16:15:24:860","2026-07-21 16:15:24:860","FIR/2026/038","48211000000054017","48211000000048013","2026-03-26","Burglary","Closed","12.847457","77.524701"
"48211000000054095","48211000000013007","2026-07-21 16:15:24:862","2026-07-21 16:15:24:862","FIR/2026/039","48211000000054028","48211000000048018","2026-05-27","Burglary","Under Investigation","17.352563","76.757199"
"48211000000054096","48211000000013007","2026-07-21 16:15:24:863","2026-07-21 16:15:24:863","FIR/2026/040","48211000000054024","48211000000048016","2026-04-21","Burglary","Under Investigation","15.805989","74.471031"
"48211000000054097","48211000000013007","2026-07-21 16:15:24:865","2026-07-21 16:15:24:865","FIR/2026/041","48211000000054027","48211000000048018","2026-01-26","Domestic Violence","Closed","17.197884","76.902764"
"48211000000054098","48211000000013007","2026-07-21 16:15:24:867","2026-07-21 16:15:24:867","FIR/2026/042","48211000000054017","48211000000048013","2026-02-05","Burglary","Chargesheeted","12.952764","77.536864"
"48211000000054099","48211000000013007","2026-07-21 16:15:24:869","2026-07-21 16:15:24:869","FIR/2026/043","48211000000054019","48211000000048014","2026-05-21","Assault","Closed","12.175173","76.685043"
"48211000000054100","48211000000013007","2026-07-21 16:15:24:871","2026-07-21 16:15:24:871","FIR/2026/044","48211000000054025","48211000000048017","2026-03-02","Extortion","Closed","15.264593","75.119692"
"48211000000054101","48211000000013007","2026-07-21 16:15:24:872","2026-07-21 16:15:24:872","FIR/2026/045","48211000000054020","48211000000048014","2026-01-01","Vehicle Theft","Under Investigation","12.441393","76.568961"
"48211000000054102","48211000000013007","2026-07-21 16:15:24:874","2026-07-21 16:15:24:874","FIR/2026/046","48211000000054024","48211000000048016","2026-05-23","Assault","Closed","15.898261","74.493701"
"48211000000054103","48211000000013007","2026-07-21 16:15:24:876","2026-07-21 16:15:24:876","FIR/2026/047","48211000000054020","48211000000048014","2026-07-08","Burglary","Under Investigation","12.308459","76.713793"
"48211000000054104","48211000000013007","2026-07-21 16:15:24:878","2026-07-21 16:15:24:878","FIR/2026/048","48211000000054017","48211000000048013","2026-05-16","Robbery","Chargesheeted","12.87343","77.741534"
"48211000000054105","48211000000013007","2026-07-21 16:15:24:880","2026-07-21 16:15:24:880","FIR/2026/049","48211000000054017","48211000000048013","2026-03-02","Theft","Under Investigation","12.947333","77.735779"
"48211000000054106","48211000000013007","2026-07-21 16:15:24:881","2026-07-21 16:15:24:881","FIR/2026/050","48211000000054025","48211000000048017","2026-01-21","Robbery","Under Investigation","15.340467","75.149102"
"48211000000054107","48211000000013007","2026-07-21 16:15:24:883","2026-07-21 16:15:24:883","FIR/2026/051","48211000000054026","48211000000048017","2026-07-03","Vehicle Theft","Under Investigation","15.308955","75.053684"
"48211000000054108","48211000000013007","2026-07-21 16:15:24:885","2026-07-21 16:15:24:885","FIR/2026/052","48211000000054020","48211000000048014","2026-01-19","Assault","Closed","12.148595","76.675748"
"48211000000054109","48211000000013007","2026-07-21 16:15:24:886","2026-07-21 16:15:24:886","FIR/2026/053","48211000000054025","48211000000048017","2026-03-09","Theft","Under Investigation","15.254437","75.078703"
"48211000000054110","48211000000013007","2026-07-21 16:15:24:888","2026-07-21 16:15:24:888","FIR/2026/054","48211000000054017","48211000000048013","2026-05-20","Cybercrime","Under Investigation","13.037262","77.636803"
"48211000000054111","48211000000013007","2026-07-21 16:15:24:889","2026-07-21 16:15:24:889","FIR/2026/055","48211000000054027","48211000000048018","2026-06-19","Domestic Violence","Chargesheeted","17.210776","76.947738"
"48211000000054112","48211000000013007","2026-07-21 16:15:24:890","2026-07-21 16:15:24:890","FIR/2026/056","48211000000054021","48211000000048015","2026-02-09","Vehicle Theft","Chargesheeted","12.845804","74.887449"
"48211000000054113","48211000000013007","2026-07-21 16:15:24:892","2026-07-21 16:15:24:892","FIR/2026/057","48211000000054028","48211000000048018","2026-03-09","Burglary","Chargesheeted","17.331323","76.759636"
"48211000000054114","48211000000013007","2026-07-21 16:15:24:893","2026-07-21 16:15:24:893","FIR/2026/058","48211000000054017","48211000000048013","2026-01-12","Domestic Violence","Closed","12.827264","77.684636"
"48211000000054115","48211000000013007","2026-07-21 16:15:24:895","2026-07-21 16:15:24:895","FIR/2026/059","48211000000054028","48211000000048018","2026-06-30","Theft","Under Investigation","17.308006","76.687201"
"48211000000054116","48211000000013007","2026-07-21 16:15:24:896","2026-07-21 16:15:24:896","FIR/2026/060","48211000000054017","48211000000048013","2026-05-30","Robbery","Closed","12.991958","77.582236"
"48211000000054117","48211000000013007","2026-07-21 16:15:24:898","2026-07-21 16:15:24:898","FIR/2026/061","48211000000054018","48211000000048013","2026-01-11","Cybercrime","Closed","13.095877","77.516323"
"48211000000054118","48211000000013007","2026-07-21 16:15:24:900","2026-07-21 16:15:24:900","FIR/2026/062","48211000000054019","48211000000048014","2026-04-15","Cybercrime","Chargesheeted","12.437951","76.714243"
"48211000000054119","48211000000013007","2026-07-21 16:15:24:901","2026-07-21 16:15:24:901","FIR/2026/063","48211000000054019","48211000000048014","2026-04-16","Extortion","Closed","12.153236","76.710369"
"48211000000054120","48211000000013007","2026-07-21 16:15:24:903","2026-07-21 16:15:24:903","FIR/2026/064","48211000000054022","48211000000048015","2026-03-05","Chain Snatching","Closed","12.844142","74.942212"
"48211000000054121","48211000000013007","2026-07-21 16:15:24:905","2026-07-21 16:15:24:905","FIR/2026/065","48211000000054018","48211000000048013","2026-02-26","Vehicle Theft","Closed","12.886072","77.728836"
"48211000000054122","48211000000013007","2026-07-21 16:15:24:906","2026-07-21 16:15:24:906","FIR/2026/066","48211000000054022","48211000000048015","2026-02-27","Chain Snatching","Closed","12.771199","74.763939"
"48211000000054123","48211000000013007","2026-07-21 16:15:24:908","2026-07-21 16:15:24:908","FIR/2026/067","48211000000054022","48211000000048015","2026-03-13","Vehicle Theft","Closed","12.869444","74.858822"
"48211000000054124","48211000000013007","2026-07-21 16:15:24:909","2026-07-21 16:15:24:909","FIR/2026/068","48211000000054028","48211000000048018","2026-03-08","Vehicle Theft","Under Investigation","17.23327","76.97306"
"48211000000054125","48211000000013007","2026-07-21 16:15:24:911","2026-07-21 16:15:24:911","FIR/2026/069","48211000000054021","48211000000048015","2026-07-06","Theft","Under Investigation","13.000028","74.836918"
"48211000000054126","48211000000013007","2026-07-21 16:15:24:913","2026-07-21 16:15:24:913","FIR/2026/070","48211000000054025","48211000000048017","2026-03-07","Cybercrime","Chargesheeted","15.228016","75.104817"
"48211000000054127","48211000000013007","2026-07-21 16:15:24:914","2026-07-21 16:15:24:914","FIR/2026/071","48211000000054025","48211000000048017","2026-06-20","Cybercrime","Under Investigation","15.490931","75.160947"
"48211000000054128","48211000000013007","2026-07-21 16:15:24:916","2026-07-21 16:15:24:916","FIR/2026/072","48211000000054027","48211000000048018","2026-03-21","Fraud","Under Investigation","17.379768","76.782155"
"48211000000054129","48211000000013007","2026-07-21 16:15:24:917","2026-07-21 16:15:24:917","FIR/2026/073","48211000000054028","48211000000048018","2026-06-20","Robbery","Under Investigation","17.461809","76.887495"
"48211000000054130","48211000000013007","2026-07-21 16:15:24:919","2026-07-21 16:15:24:919","FIR/2026/074","48211000000054020","48211000000048014","2026-03-19","Assault","Closed","12.231874","76.618366"
"48211000000054131","48211000000013007","2026-07-21 16:15:24:921","2026-07-21 16:15:24:921","FIR/2026/075","48211000000054026","48211000000048017","2026-02-24","Assault","Under Investigation","15.368052","75.212121"
"48211000000054132","48211000000013007","2026-07-21 16:15:24:922","2026-07-21 16:15:24:922","FIR/2026/076","48211000000054027","48211000000048018","2026-06-19","Domestic Violence","Under Investigation","17.369582","76.784856"
"48211000000054133","48211000000013007","2026-07-21 16:15:24:924","2026-07-21 16:15:24:924","FIR/2026/077","48211000000054020","48211000000048014","2026-01-07","Burglary","Under Investigation","12.159664","76.784581"
"48211000000054134","48211000000013007","2026-07-21 16:15:24:925","2026-07-21 16:15:24:925","FIR/2026/078","48211000000054025","48211000000048017","2026-05-28","Assault","Closed","15.273031","75.182906"
"48211000000054135","48211000000013007","2026-07-21 16:15:24:927","2026-07-21 16:15:24:927","FIR/2026/079","48211000000054024","48211000000048016","2026-01-02","Burglary","Chargesheeted","15.967498","74.605832"
"48211000000054136","48211000000013007","2026-07-21 16:15:24:929","2026-07-21 16:15:24:929","FIR/2026/080","48211000000054018","48211000000048013","2026-06-28","Burglary","Closed","12.981587","77.468366"
"48211000000054137","48211000000013007","2026-07-21 16:15:24:930","2026-07-21 16:15:24:930","FIR/2026/081","48211000000054019","48211000000048014","2026-06-20","Assault","Closed","12.30514","76.657078"
"48211000000054138","48211000000013007","2026-07-21 16:15:24:932","2026-07-21 16:15:24:932","FIR/2026/082","48211000000054022","48211000000048015","2026-05-10","Domestic Violence","Chargesheeted","12.892122","74.978056"
"48211000000054139","48211000000013007","2026-07-21 16:15:24:933","2026-07-21 16:15:24:933","FIR/2026/083","48211000000054023","48211000000048016","2026-03-08","Fraud","Chargesheeted","15.925233","74.599659"
"48211000000054140","48211000000013007","2026-07-21 16:15:24:935","2026-07-21 16:15:24:935","FIR/2026/084","48211000000054022","48211000000048015","2026-01-20","Domestic Violence","Under Investigation","12.978163","74.776348"
"48211000000054141","48211000000013007","2026-07-21 16:15:24:937","2026-07-21 16:15:24:937","FIR/2026/085","48211000000054022","48211000000048015","2026-02-08","Vehicle Theft","Under Investigation","12.833478","74.914185"
"48211000000054142","48211000000013007","2026-07-21 16:15:24:938","2026-07-21 16:15:24:938","FIR/2026/086","48211000000054027","48211000000048018","2026-05-19","Theft","Under Investigation","17.319477","76.70298"
"48211000000054143","48211000000013007","2026-07-21 16:15:24:940","2026-07-21 16:15:24:940","FIR/2026/087","48211000000054024","48211000000048016","2026-06-28","Vehicle Theft","Chargesheeted","15.70556","74.611897"
"48211000000054144","48211000000013007","2026-07-21 16:15:24:941","2026-07-21 16:15:24:941","FIR/2026/088","48211000000054026","48211000000048017","2026-03-18","Assault","Closed","15.440743","75.230034"
"48211000000054145","48211000000013007","2026-07-21 16:15:24:943","2026-07-21 16:15:24:943","FIR/2026/089","48211000000054023","48211000000048016","2026-05-05","Assault","Under Investigation","15.708407","74.448539"
"48211000000054146","48211000000013007","2026-07-21 16:15:24:944","2026-07-21 16:15:24:944","FIR/2026/090","48211000000054028","48211000000048018","2026-02-02","Fraud","Closed","17.473917","76.844537"
"48211000000054147","48211000000013007","2026-07-21 16:15:24:946","2026-07-21 16:15:24:946","FIR/2026/091","48211000000054023","48211000000048016","2026-04-29","Theft","Under Investigation","15.754219","74.425747"
"48211000000054148","48211000000013007","2026-07-21 16:15:24:947","2026-07-21 16:15:24:947","FIR/2026/092","48211000000054021","48211000000048015","2026-04-08","Assault","Under Investigation","12.847577","74.991361"
"48211000000054149","48211000000013007","2026-07-21 16:15:24:949","2026-07-21 16:15:24:949","FIR/2026/093","48211000000054024","48211000000048016","2026-07-11","Chain Snatching","Chargesheeted","15.861526","74.647672"
"48211000000054150","48211000000013007","2026-07-21 16:15:24:950","2026-07-21 16:15:24:950","FIR/2026/094","48211000000054021","48211000000048015","2026-06-16","Domestic Violence","Chargesheeted","12.776177","74.715309"
"48211000000054151","48211000000013007","2026-07-21 16:15:24:952","2026-07-21 16:15:24:952","FIR/2026/095","48211000000054019","48211000000048014","2026-03-03","Chain Snatching","Chargesheeted","12.183666","76.690238"
"48211000000054152","48211000000013007","2026-07-21 16:15:24:953","2026-07-21 16:15:24:953","FIR/2026/096","48211000000054025","48211000000048017","2026-04-05","Assault","Under Investigation","15.265037","75.156174"
"48211000000054153","48211000000013007","2026-07-21 16:15:24:955","2026-07-21 16:15:24:955","FIR/2026/097","48211000000054027","48211000000048018","2026-03-21","Chain Snatching","Under Investigation","17.21213","76.692004"
"48211000000054154","48211000000013007","2026-07-21 16:15:24:956","2026-07-21 16:15:24:956","FIR/2026/098","48211000000054022","48211000000048015","2026-01-20","Cybercrime","Chargesheeted","12.941729","74.955171"
"48211000000054155","48211000000013007","2026-07-21 16:15:24:957","2026-07-21 16:15:24:957","FIR/2026/099","48211000000054019","48211000000048014","2026-06-25","Fraud","Under Investigation","12.325923","76.525717"
"48211000000054156","48211000000013007","2026-07-21 16:15:24:959","2026-07-21 16:15:24:959","FIR/2026/100","48211000000054025","48211000000048017","2026-04-05","Cybercrime","Under Investigation","15.235387","75.168263"
"48211000000054157","48211000000013007","2026-07-21 16:15:24:960","2026-07-21 16:15:24:960","FIR/2026/101","48211000000054018","48211000000048013","2026-04-03","Chain Snatching","Under Investigation","13.016876","77.701912"
"48211000000054158","48211000000013007","2026-07-21 16:15:24:962","2026-07-21 16:15:24:962","FIR/2026/102","48211000000054027","48211000000048018","2026-06-16","Assault","Chargesheeted","17.260725","76.92676"
"48211000000054159","48211000000013007","2026-07-21 16:15:24:963","2026-07-21 16:15:24:963","FIR/2026/103","48211000000054026","48211000000048017","2026-06-01","Assault","Closed","15.295219","75.229514"
"48211000000054160","48211000000013007","2026-07-21 16:15:24:965","2026-07-21 16:15:24:965","FIR/2026/104","48211000000054018","48211000000048013","2026-04-29","Vehicle Theft","Under Investigation","12.997155","77.653757"
"48211000000054161","48211000000013007","2026-07-21 16:15:24:966","2026-07-21 16:15:24:966","FIR/2026/105","48211000000054021","48211000000048015","2026-05-05","Assault","Under Investigation","12.827736","74.94535"
"48211000000054162","48211000000013007","2026-07-21 16:15:24:968","2026-07-21 16:15:24:968","FIR/2026/106","48211000000054022","48211000000048015","2026-03-12","Vehicle Theft","Chargesheeted","12.930837","74.860988"
"48211000000054163","48211000000013007","2026-07-21 16:15:24:969","2026-07-21 16:15:24:969","FIR/2026/107","48211000000054019","48211000000048014","2026-05-23","Burglary","Under Investigation","12.373249","76.696583"
"48211000000054164","48211000000013007","2026-07-21 16:15:24:971","2026-07-21 16:15:24:971","FIR/2026/108","48211000000054028","48211000000048018","2026-03-17","Assault","Under Investigation","17.246179","76.891836"
"48211000000054165","48211000000013007","2026-07-21 16:15:24:972","2026-07-21 16:15:24:972","FIR/2026/109","48211000000054022","48211000000048015","2026-04-19","Assault","Chargesheeted","13.063089","74.871117"
"48211000000054166","48211000000013007","2026-07-21 16:15:24:974","2026-07-21 16:15:24:974","FIR/2026/110","48211000000054022","48211000000048015","2026-01-31","Burglary","Under Investigation","12.980485","74.800664"
"48211000000054167","48211000000013007","2026-07-21 16:15:24:975","2026-07-21 16:15:24:975","FIR/2026/111","48211000000054027","48211000000048018","2026-03-12","Burglary","Chargesheeted","17.397076","76.977282"
"48211000000054168","48211000000013007","2026-07-21 16:15:24:977","2026-07-21 16:15:24:977","FIR/2026/112","48211000000054026","48211000000048017","2026-03-17","Extortion","Closed","15.282945","75.027832"
"48211000000054169","48211000000013007","2026-07-21 16:15:24:978","2026-07-21 16:15:24:978","FIR/2026/113","48211000000054017","48211000000048013","2026-05-22","Burglary","Closed","12.913841","77.736527"
"48211000000054170","48211000000013007","2026-07-21 16:15:24:980","2026-07-21 16:15:24:980","FIR/2026/114","48211000000054028","48211000000048018","2026-03-14","Theft","Under Investigation","17.320519","76.816441"
"48211000000054171","48211000000013007","2026-07-21 16:15:24:981","2026-07-21 16:15:24:981","FIR/2026/115","48211000000054019","48211000000048014","2026-01-30","Burglary","Closed","12.392435","76.609612"
"48211000000054172","48211000000013007","2026-07-21 16:15:24:982","2026-07-21 16:15:24:982","FIR/2026/116","48211000000054017","48211000000048013","2026-03-19","Theft","Closed","12.851754","77.527757"
"48211000000054173","48211000000013007","2026-07-21 16:15:24:984","2026-07-21 16:15:24:984","FIR/2026/117","48211000000054026","48211000000048017","2026-02-27","Domestic Violence","Chargesheeted","15.447408","75.088113"
"48211000000054174","48211000000013007","2026-07-21 16:15:24:986","2026-07-21 16:15:24:986","FIR/2026/118","48211000000054024","48211000000048016","2026-03-20","Vehicle Theft","Closed","15.870289","74.365769"
"48211000000054175","48211000000013007","2026-07-21 16:15:24:987","2026-07-21 16:15:24:987","FIR/2026/119","48211000000054027","48211000000048018","2026-02-24","Extortion","Under Investigation","17.259094","76.708656"
"48211000000054176","48211000000013007","2026-07-21 16:15:24:989","2026-07-21 16:15:24:989","FIR/2026/120","48211000000054019","48211000000048014","2026-04-15","Robbery","Under Investigation","12.280951","76.667543"
"48211000000054177","48211000000013007","2026-07-21 16:15:24:991","2026-07-21 16:15:24:991","FIR/2026/121","48211000000054021","48211000000048015","2026-06-29","Burglary","Chargesheeted","13.021982","74.727354"
"48211000000054178","48211000000013007","2026-07-21 16:15:24:993","2026-07-21 16:15:24:993","FIR/2026/122","48211000000054020","48211000000048014","2026-06-19","Chain Snatching","Chargesheeted","12.386972","76.548746"
"48211000000054179","48211000000013007","2026-07-21 16:15:24:994","2026-07-21 16:15:24:994","FIR/2026/123","48211000000054017","48211000000048013","2026-02-06","Domestic Violence","Closed","12.847623","77.503077"
"48211000000054180","48211000000013007","2026-07-21 16:15:24:996","2026-07-21 16:15:24:996","FIR/2026/124","48211000000054022","48211000000048015","2026-03-19","Assault","Chargesheeted","12.97402","74.988803"
"48211000000054181","48211000000013007","2026-07-21 16:15:24:997","2026-07-21 16:15:24:997","FIR/2026/125","48211000000054026","48211000000048017","2026-04-21","Assault","Chargesheeted","15.43506","75.155114"
"48211000000054182","48211000000013007","2026-07-21 16:15:24:999","2026-07-21 16:15:24:999","FIR/2026/126","48211000000054017","48211000000048013","2026-05-28","Burglary","Chargesheeted","13.002337","77.459524"
"48211000000054183","48211000000013007","2026-07-21 16:15:25:000","2026-07-21 16:15:25:000","FIR/2026/127","48211000000054028","48211000000048018","2026-02-14","Robbery","Chargesheeted","17.32085","76.879753"
"48211000000054184","48211000000013007","2026-07-21 16:15:25:003","2026-07-21 16:15:25:003","FIR/2026/128","48211000000054021","48211000000048015","2026-05-06","Extortion","Under Investigation","13.054817","74.847003"
"48211000000054185","48211000000013007","2026-07-21 16:15:25:004","2026-07-21 16:15:25:004","FIR/2026/129","48211000000054024","48211000000048016","2026-02-11","Cybercrime","Under Investigation","15.798641","74.555802"
"48211000000054186","48211000000013007","2026-07-21 16:15:25:006","2026-07-21 16:15:25:006","FIR/2026/130","48211000000054022","48211000000048015","2026-04-27","Chain Snatching","Chargesheeted","12.790518","74.78172"
"48211000000054187","48211000000013007","2026-07-21 16:15:25:008","2026-07-21 16:15:25:008","FIR/2026/131","48211000000054018","48211000000048013","2026-01-01","Vehicle Theft","Closed","13.023498","77.616078"
"48211000000054188","48211000000013007","2026-07-21 16:15:25:010","2026-07-21 16:15:25:010","FIR/2026/132","48211000000054023","48211000000048016","2026-07-13","Burglary","Under Investigation","15.849248","74.480312"
"48211000000054189","48211000000013007","2026-07-21 16:15:25:011","2026-07-21 16:15:25:011","FIR/2026/133","48211000000054017","48211000000048013","2026-03-15","Burglary","Under Investigation","12.957635","77.662775"
"48211000000054190","48211000000013007","2026-07-21 16:15:25:013","2026-07-21 16:15:25:013","FIR/2026/134","48211000000054017","48211000000048013","2026-03-03","Extortion","Chargesheeted","13.039135","77.546525"
"48211000000054191","48211000000013007","2026-07-21 16:15:25:015","2026-07-21 16:15:25:015","FIR/2026/135","48211000000054018","48211000000048013","2026-01-30","Theft","Closed","12.964634","77.48854"
"48211000000054192","48211000000013007","2026-07-21 16:15:25:016","2026-07-21 16:15:25:016","FIR/2026/136","48211000000054020","48211000000048014","2026-06-30","Vehicle Theft","Under Investigation","12.227827","76.739817"
"48211000000054193","48211000000013007","2026-07-21 16:15:25:018","2026-07-21 16:15:25:018","FIR/2026/137","48211000000054023","48211000000048016","2026-02-18","Assault","Under Investigation","15.97626","74.500172"
"48211000000054194","48211000000013007","2026-07-21 16:15:25:020","2026-07-21 16:15:25:020","FIR/2026/138","48211000000054019","48211000000048014","2026-04-17","Burglary","Chargesheeted","12.247763","76.725715"
"48211000000054195","48211000000013007","2026-07-21 16:15:25:021","2026-07-21 16:15:25:021","FIR/2026/139","48211000000054021","48211000000048015","2026-05-31","Burglary","Under Investigation","12.938077","74.903982"
"48211000000054196","48211000000013007","2026-07-21 16:15:25:023","2026-07-21 16:15:25:023","FIR/2026/140","48211000000054020","48211000000048014","2026-05-22","Robbery","Under Investigation","12.374662","76.602563"
